2022-03-22 16:44:17 install libmount1:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed libmount1:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked libmount1:amd64 2.36.1-8
2022-03-22 16:44:17 install libsmartcols1:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed libsmartcols1:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked libsmartcols1:amd64 2.36.1-8
2022-03-22 16:44:17 install libuuid1:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed libuuid1:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked libuuid1:amd64 2.36.1-8
2022-03-22 16:44:17 install mount:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed mount:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked mount:amd64 2.36.1-8
2022-03-22 16:44:17 install util-linux:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed util-linux:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked util-linux:amd64 2.36.1-8
2022-03-22 16:44:17 install libxxhash0:amd64 <none> 0.8.0-2
2022-03-22 16:44:17 status half-installed libxxhash0:amd64 0.8.0-2
2022-03-22 16:44:18 status unpacked libxxhash0:amd64 0.8.0-2
2022-03-22 16:44:18 install liblzma5:amd64 <none> 5.2.5-2
2022-03-22 16:44:18 status half-installed liblzma5:amd64 5.2.5-2
2022-03-22 16:44:18 status unpacked liblzma5:amd64 5.2.5-2
2022-03-22 16:44:18 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2
2022-03-22 16:44:18 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2
2022-03-22 16:44:18 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2
2022-03-22 16:44:18 startup packages configure
2022-03-22 16:44:18 configure lsb-base:all 11.1.0 <none>
2022-03-22 16:44:18 status unpacked lsb-base:all 11.1.0
2022-03-22 16:44:18 status half-configured lsb-base:all 11.1.0
